([1, 1, 1, 1, 1], [2, 3, 8, 10, 7], 169)
([1, 1, 1, 1, 1], [5, 2, 3, 10, 4], 722)
([1, 1, 1, 1, 1], [5, 3, 2, 12, 10], 998)
([1, 1, 1, 1, 1], [5, 3, 6, 14, 4], 170)
([1, 1, 1, 1, 1], [5, 3, 8, 9, 14], 234)
([1, 1, 1, 1, 1], [5, 4, 3, 7, 9], 493)
([1, 1, 1, 1, 1], [5, 6, 2, 11, 3], 767)
([1, 1, 1, 1, 1], [5, 6, 8, 3, 9], 644)
([1, 1, 1, 1, 1], [5, 6, 10, 2, 8], 99)
([1, 1, 1, 1, 1], [5, 6, 14, 12, 11], 320)
([1, 1, 1, 1, 1], [5, 6, 14, 13, 9], 142)
([1, 1, 1, 1, 1], [5, 8, 10, 3, 4], 85)
([1, 1, 1, 1, 1], [5, 10, 13, 6, 2], 457)
([1, 1, 1, 1, 1], [5, 11, 3, 9, 12], 743)
([1, 1, 1, 1, 1], [5, 12, 4, 9, 13], 866)
([1, 1, 1, 1, 1], [5, 12, 4, 14, 3], 692)
([1, 1, 1, 1, 1], [5, 12, 13, 14, 6], 876)
([1, 1, 1, 1, 1], [5, 14, 6, 11, 3], 58)
([1, 1, 1, 1, 1], [5, 14, 11, 3, 13], 412)
([1, 1, 1, 1, 1], [6, 2, 12, 11, 5], 539)
([1, 1, 1, 1, 1], [6, 3, 2, 14, 11], 294)
([1, 1, 1, 1, 1], [6, 4, 5, 12, 2], 471)
([1, 1, 1, 1, 1], [6, 4, 9, 5, 2], 62)
([1, 1, 1, 1, 1], [6, 4, 10, 11, 8], 630)
([1, 1, 1, 1, 1], [6, 4, 11, 5, 9], 532)
([1, 1, 1, 1, 1], [6, 4, 11, 12, 8], 499)
([1, 1, 1, 1, 1], [6, 5, 7, 2, 11], 345)
([1, 1, 1, 1, 1], [6, 7, 8, 11, 4], 123)
([1, 1, 1, 1, 1], [6, 8, 10, 12, 4], 151)
([1, 1, 1, 1, 1], [6, 9, 14, 5, 2], 566)
([1, 1, 1, 1, 1], [6, 10, 5, 4, 8], 859)
([1, 1, 1, 1, 1], [6, 10, 14, 3, 9], 171)
([1, 1, 1, 1, 1], [6, 10, 14, 7, 9], 858)
([1, 1, 1, 1, 1], [6, 11, 7, 2, 14], 606)
([1, 1, 1, 1, 1], [6, 11, 12, 3, 10], 687)
([1, 1, 1, 1, 1], [6, 12, 10, 2, 8], 246)
([1, 1, 1, 1, 1], [6, 13, 12, 10, 8], 404)
([1, 1, 1, 1, 1], [6, 13, 14, 11, 3], 409)
([1, 1, 1, 1, 1], [6, 14, 5, 12, 8], 133)
([1, 1, 1, 1, 1], [6, 14, 10, 2, 9], 515)
([1, 1, 1, 1, 1], [7, 2, 14, 12, 3], 348)
([1, 1, 1, 1, 1], [7, 3, 6, 5, 14], 834)
([1, 1, 1, 1, 1], [7, 3, 9, 12, 13], 400)
([1, 1, 1, 1, 1], [7, 3, 10, 12, 13], 615)
([1, 1, 1, 1, 1], [7, 5, 3, 11, 2], 714)
([1, 1, 1, 1, 1], [7, 8, 3, 6, 14], 464)
([1, 1, 1, 1, 1], [7, 9, 8, 10, 13], 823)
([1, 1, 1, 1, 1], [7, 10, 6, 12, 14], 642)
([1, 1, 1, 1, 1], [7, 11, 13, 9, 3], 872)
([1, 1, 1, 1, 1], [7, 12, 5, 14, 3], 929)
([1, 1, 1, 1, 1], [7, 12, 10, 3, 11], 321)
([1, 1, 1, 1, 1], [7, 14, 10, 3, 12], 145)
([1, 1, 1, 1, 1], [8, 2, 4, 13, 7], 739)
([1, 1, 1, 1, 1], [8, 2, 11, 3, 14], 175)
([1, 1, 1, 1, 1], [8, 4, 12, 9, 5], 25)
([1, 1, 1, 1, 1], [8, 4, 14, 6, 7], 760)
([1, 1, 1, 1, 1], [8, 5, 9, 11, 6], 436)
([1, 1, 1, 1, 1], [8, 7, 3, 6, 4], 762)
([1, 1, 1, 1, 1], [8, 7, 12, 6, 10], 544)
([1, 1, 1, 1, 1], [8, 9, 11, 14, 2], 771)
([1, 1, 1, 1, 1], [8, 10, 4, 3, 14], 942)
([1, 1, 1, 1, 1], [8, 10, 14, 11, 5], 251)
([1, 1, 1, 1, 1], [8, 11, 6, 12, 9], 439)
([1, 1, 1, 1, 1], [8, 11, 9, 3, 13], 635)
([1, 1, 1, 1, 1], [8, 11, 9, 7, 13], 124)
([1, 1, 1, 1, 1], [8, 12, 10, 11, 13], 638)
([1, 1, 1, 1, 1], [8, 13, 2, 10, 14], 476)
([1, 1, 1, 1, 1], [8, 13, 3, 11, 10], 386)
([1, 1, 1, 1, 1], [8, 13, 5, 12, 10], 561)
([1, 1, 1, 1, 1], [9, 2, 3, 5, 6], 627)
([1, 1, 1, 1, 1], [9, 2, 3, 14, 7], 384)
([1, 1, 1, 1, 1], [9, 5, 7, 14, 13], 671)
([1, 1, 1, 1, 1], [9, 5, 11, 3, 2], 182)
([1, 1, 1, 1, 1], [9, 5, 12, 14, 7], 613)
([1, 1, 1, 1, 1], [9, 8, 10, 14, 7], 399)
([1, 1, 1, 1, 1], [9, 8, 14, 10, 11], 156)
([1, 1, 1, 1, 1], [9, 10, 14, 6, 12], 617)
([1, 1, 1, 1, 1], [9, 11, 2, 13, 3], 402)
([1, 1, 1, 1, 1], [9, 12, 8, 7, 5], 753)
([1, 1, 1, 1, 1], [9, 12, 13, 6, 10], 938)
([1, 1, 1, 1, 1], [9, 13, 14, 5, 12], 462)
([1, 1, 1, 1, 1], [9, 14, 4, 7, 12], 110)
([1, 1, 1, 1, 1], [9, 14, 4, 8, 13], 17)
([1, 1, 1, 1, 1], [9, 14, 6, 8, 11], 856)
([1, 1, 1, 1, 1], [9, 14, 6, 12, 7], 64)
([1, 1, 1, 1, 1], [10, 2, 12, 6, 11], 845)
([1, 1, 1, 1, 1], [10, 4, 8, 11, 5], 893)
([1, 1, 1, 1, 1], [10, 4, 12, 5, 8], 616)
([1, 1, 1, 1, 1], [10, 5, 2, 3, 9], 851)
([1, 1, 1, 1, 1], [10, 6, 5, 13, 12], 841)
([1, 1, 1, 1, 1], [10, 6, 7, 8, 4], 395)
([1, 1, 1, 1, 1], [10, 6, 8, 12, 11], 962)
([1, 1, 1, 1, 1], [10, 7, 5, 2, 4], 683)
([1, 1, 1, 1, 1], [10, 7, 13, 3, 6], 325)
([1, 1, 1, 1, 1], [10, 8, 14, 9, 6], 529)
([1, 1, 1, 1, 1], [10, 9, 2, 3, 6], 448)
([1, 1, 1, 1, 1], [10, 9, 7, 14, 3], 594)
([1, 1, 1, 1, 1], [10, 9, 12, 2, 8], 587)
([1, 1, 1, 1, 1], [10, 12, 7, 5, 8], 759)
([1, 1, 1, 1, 1], [10, 12, 11, 5, 6], 219)
([1, 1, 1, 1, 1], [10, 12, 11, 13, 14], 265)
([1, 1, 1, 1, 1], [10, 13, 8, 3, 14], 53)
([1, 1, 1, 1, 1], [10, 14, 5, 8, 6], 886)
([1, 1, 1, 1, 1], [10, 14, 13, 7, 9], 984)
([1, 1, 1, 1, 1], [11, 2, 4, 3, 10], 965)
([1, 1, 1, 1, 1], [11, 4, 2, 8, 7], 417)
([1, 1, 1, 1, 1], [11, 4, 2, 13, 8], 469)
([1, 1, 1, 1, 1], [11, 4, 7, 9, 5], 576)
([1, 1, 1, 1, 1], [11, 4, 13, 7, 3], 956)
([1, 1, 1, 1, 1], [11, 5, 8, 3, 13], 206)
([1, 1, 1, 1, 1], [11, 7, 4, 14, 9], 318)
([1, 1, 1, 1, 1], [11, 7, 9, 2, 3], 217)
([1, 1, 1, 1, 1], [11, 7, 9, 4, 6], 304)
([1, 1, 1, 1, 1], [11, 7, 10, 8, 6], 42)
([1, 1, 1, 1, 1], [11, 7, 10, 13, 8], 916)
([1, 1, 1, 1, 1], [11, 8, 12, 13, 4], 691)
([1, 1, 1, 1, 1], [11, 9, 5, 8, 3], 605)
([1, 1, 1, 1, 1], [11, 10, 13, 9, 5], 684)
([1, 1, 1, 1, 1], [11, 12, 2, 3, 6], 155)
([1, 1, 1, 1, 1], [11, 12, 3, 8, 2], 825)
([1, 1, 1, 1, 1], [11, 12, 5, 3, 10], 900)
([1, 1, 1, 1, 1], [11, 14, 10, 7, 9], 455)
([1, 1, 1, 1, 1], [12, 2, 7, 13, 5], 970)
([1, 1, 1, 1, 1], [12, 2, 9, 14, 6], 358)
([1, 1, 1, 1, 1], [12, 3, 9, 13, 6], 257)
([1, 1, 1, 1, 1], [12, 5, 3, 14, 2], 543)
([1, 1, 1, 1, 1], [12, 5, 8, 10, 6], 992)
([1, 1, 1, 1, 1], [12, 6, 3, 7, 4], 161)
([1, 1, 1, 1, 1], [12, 6, 8, 14, 7], 752)
([1, 1, 1, 1, 1], [12, 7, 6, 8, 3], 855)
([1, 1, 1, 1, 1], [12, 7, 8, 13, 9], 507)
([1, 1, 1, 1, 1], [12, 7, 13, 3, 6], 842)
([1, 1, 1, 1, 1], [12, 8, 9, 4, 14], 603)
([1, 1, 1, 1, 1], [12, 9, 4, 14, 5], 121)
([1, 1, 1, 1, 1], [12, 9, 13, 2, 5], 190)
([1, 1, 1, 1, 1], [12, 10, 11, 7, 5], 299)
([1, 1, 1, 1, 1], [12, 10, 14, 11, 6], 149)
([1, 1, 1, 1, 1], [12, 11, 7, 14, 4], 838)
([1, 1, 1, 1, 1], [12, 14, 2, 8, 10], 8)
([1, 1, 1, 1, 1], [12, 14, 6, 3, 11], 952)
([1, 1, 1, 1, 1], [13, 2, 3, 11, 12], 335)
([1, 1, 1, 1, 1], [13, 2, 4, 6, 5], 770)
([1, 1, 1, 1, 1], [13, 2, 5, 3, 9], 445)
([1, 1, 1, 1, 1], [13, 2, 6, 9, 11], 720)
([1, 1, 1, 1, 1], [13, 3, 4, 5, 9], 599)
([1, 1, 1, 1, 1], [13, 3, 11, 5, 9], 339)
([1, 1, 1, 1, 1], [13, 6, 10, 4, 5], 902)
([1, 1, 1, 1, 1], [13, 7, 9, 2, 11], 268)
([1, 1, 1, 1, 1], [13, 8, 2, 5, 6], 713)
([1, 1, 1, 1, 1], [13, 8, 10, 14, 12], 969)
([1, 1, 1, 1, 1], [13, 10, 2, 14, 4], 591)
([1, 1, 1, 1, 1], [13, 10, 5, 2, 8], 27)
([1, 1, 1, 1, 1], [13, 14, 9, 7, 6], 158)
([1, 1, 1, 1, 1], [13, 14, 12, 2, 3], 314)
([1, 1, 1, 1, 1], [14, 2, 5, 11, 7], 212)
([1, 1, 1, 1, 1], [14, 2, 6, 5, 8], 531)
([1, 1, 1, 1, 1], [14, 4, 2, 11, 3], 336)
([1, 1, 1, 1, 1], [14, 5, 2, 11, 4], 351)
([1, 1, 1, 1, 1], [14, 5, 6, 11, 7], 405)
([1, 1, 1, 1, 1], [14, 5, 8, 4, 9], 202)
([1, 1, 1, 1, 1], [14, 5, 10, 8, 12], 889)
([1, 1, 1, 1, 1], [14, 7, 4, 12, 8], 366)
([1, 1, 1, 1, 1], [14, 7, 8, 6, 5], 396)
([1, 1, 1, 1, 1], [14, 8, 5, 6, 9], 380)
([1, 1, 1, 1, 1], [14, 10, 13, 12, 7], 783)
([1, 1, 1, 1, 1], [14, 11, 6, 13, 12], 679)
([1, 1, 1, 1, 1], [14, 11, 8, 12, 6], 93)
([1, 1, 1, 1, 1], [14, 11, 8, 13, 10], 524)
([1, 1, 1, 1, 1], [14, 11, 9, 12, 5], 710)
([1, 1, 1, 1, 1], [14, 11, 13, 10, 5], 474)
([1, 1, 1, 1, 1], [14, 13, 9, 10, 3], 303)
([2, 1, 1, 1], [2, 2, 4, 3, 7], 260)
([2, 1, 1, 1], [2, 2, 5, 11, 13], 786)
([2, 1, 1, 1], [2, 2, 7, 10, 12], 776)
([2, 1, 1, 1], [2, 5, 9, 7, 5], 346)
([2, 1, 1, 1], [2, 6, 5, 2, 11], 355)
([2, 1, 1, 1], [2, 6, 10, 2, 11], 870)
([2, 1, 1, 1], [2, 6, 11, 4, 2], 94)
([2, 1, 1, 1], [2, 6, 12, 12, 5], 650)
([2, 1, 1, 1], [2, 8, 2, 11, 6], 502)
([2, 1, 1, 1], [2, 8, 5, 11, 5], 698)
([2, 1, 1, 1], [2, 8, 6, 10, 10], 218)
([2, 1, 1, 1], [2, 8, 9, 14, 14], 63)
([2, 1, 1, 1], [2, 9, 8, 6, 9], 374)
([2, 1, 1, 1], [2, 10, 10, 3, 9], 997)
([2, 1, 1, 1], [2, 12, 2, 10, 6], 890)
([2, 1, 1, 1], [2, 12, 2, 11, 4], 244)
([2, 1, 1, 1], [2, 14, 2, 11, 13], 259)
([2, 1, 1, 1], [2, 14, 7, 2, 11], 839)
([2, 1, 1, 1], [3, 2, 3, 5, 13], 108)
([2, 1, 1, 1], [3, 2, 5, 4, 4], 857)
([2, 1, 1, 1], [3, 2, 12, 2, 4], 272)
([2, 1, 1, 1], [3, 3, 11, 8, 5], 649)
([2, 1, 1, 1], [3, 5, 4, 10, 3], 921)
([2, 1, 1, 1], [3, 5, 5, 8, 10], 609)
([2, 1, 1, 1], [3, 5, 8, 9, 8], 194)
([2, 1, 1, 1], [3, 6, 6, 10, 4], 301)
([2, 1, 1, 1], [3, 6, 7, 6, 13], 324)
([2, 1, 1, 1], [3, 8, 4, 4, 11], 440)
([2, 1, 1, 1], [3, 8, 13, 12, 13], 79)
([2, 1, 1, 1], [3, 9, 2, 14, 2], 774)
([2, 1, 1, 1], [3, 9, 9, 11, 14], 791)
([2, 1, 1, 1], [3, 10, 2, 10, 6], 723)
([2, 1, 1, 1], [3, 10, 9, 6, 3], 69)
([2, 1, 1, 1], [3, 10, 12, 12, 14], 250)
([2, 1, 1, 1], [3, 12, 6, 6, 10], 981)
([2, 1, 1, 1], [3, 12, 9, 8, 12], 230)
([2, 1, 1, 1], [3, 12, 10, 9, 3], 618)
([2, 1, 1, 1], [3, 13, 4, 4, 12], 522)
([2, 1, 1, 1], [3, 14, 11, 12, 3], 423)
([2, 1, 1, 1], [3, 14, 14, 5, 12], 657)
([2, 1, 1, 1], [4, 2, 3, 14, 4], 879)
([2, 1, 1, 1], [4, 2, 8, 2, 12], 126)
([2, 1, 1, 1], [4, 3, 3, 5, 14], 707)
([2, 1, 1, 1], [4, 3, 6, 2, 6], 139)
([2, 1, 1, 1], [4, 3, 9, 12, 12], 863)
([2, 1, 1, 1], [4, 4, 6, 3, 2], 37)
([2, 1, 1, 1], [4, 4, 7, 14, 2], 592)
([2, 1, 1, 1], [4, 4, 14, 3, 8], 797)
([2, 1, 1, 1], [4, 5, 11, 10, 5], 221)
([2, 1, 1, 1], [4, 7, 4, 5, 11], 793)
([2, 1, 1, 1], [4, 7, 10, 14, 7], 810)
([2, 1, 1, 1], [4, 8, 7, 7, 5], 248)
([2, 1, 1, 1], [4, 8, 11, 2, 8], 327)
([2, 1, 1, 1], [4, 9, 11, 13, 9], 214)
([2, 1, 1, 1], [4, 10, 4, 13, 14], 640)
([2, 1, 1, 1], [4, 10, 11, 5, 10], 500)
([2, 1, 1, 1], [4, 11, 6, 6, 5], 749)
([2, 1, 1, 1], [4, 11, 13, 4, 7], 317)
([2, 1, 1, 1], [4, 11, 13, 13, 8], 761)
([2, 1, 1, 1], [4, 12, 6, 2, 12], 279)
([2, 1, 1, 1], [4, 12, 12, 14, 9], 919)
([2, 1, 1, 1], [4, 13, 2, 12, 13], 179)
([2, 1, 1, 1], [4, 13, 4, 2, 12], 426)
([2, 1, 1, 1], [4, 14, 2, 7, 2], 52)
([2, 1, 1, 1], [4, 14, 11, 14, 3], 837)
([2, 1, 1, 1], [4, 14, 14, 6, 8], 415)
([2, 1, 1, 1], [5, 2, 11, 13, 13], 619)
([2, 1, 1, 1], [5, 4, 8, 3, 4], 741)
([2, 1, 1, 1], [5, 7, 4, 6, 6], 213)
([2, 1, 1, 1], [5, 7, 11, 7, 4], 97)
([2, 1, 1, 1], [5, 7, 12, 12, 9], 581)
([2, 1, 1, 1], [5, 8, 8, 10, 2], 688)
([2, 1, 1, 1], [5, 8, 14, 12, 8], 963)
([2, 1, 1, 1], [5, 10, 3, 9, 9], 3)
([2, 1, 1, 1], [5, 11, 2, 3, 2], 66)
([2, 1, 1, 1], [5, 11, 2, 12, 2], 459)
([2, 1, 1, 1], [5, 11, 5, 14, 7], 59)
([2, 1, 1, 1], [5, 12, 5, 4, 6], 379)
([2, 1, 1, 1], [5, 12, 5, 13, 3], 129)
([2, 1, 1, 1], [5, 13, 6, 5, 12], 356)
([2, 1, 1, 1], [5, 14, 12, 6, 5], 940)
([2, 1, 1, 1], [5, 14, 13, 4, 14], 968)
([2, 1, 1, 1], [6, 3, 5, 11, 6], 637)
([2, 1, 1, 1], [6, 3, 12, 12, 11], 699)
([2, 1, 1, 1], [6, 5, 2, 5, 8], 559)
([2, 1, 1, 1], [6, 6, 10, 13, 9], 610)
([2, 1, 1, 1], [6, 7, 10, 10, 4], 820)
([2, 1, 1, 1], [6, 8, 14, 8, 11], 263)
([2, 1, 1, 1], [6, 9, 3, 6, 7], 730)
([2, 1, 1, 1], [6, 9, 5, 6, 10], 512)
([2, 1, 1, 1], [6, 9, 13, 8, 8], 178)
([2, 1, 1, 1], [6, 10, 5, 10, 12], 387)
([2, 1, 1, 1], [6, 10, 10, 12, 13], 853)
([2, 1, 1, 1], [6, 10, 11, 10, 12], 575)
([2, 1, 1, 1], [6, 11, 6, 13, 2], 446)
([2, 1, 1, 1], [6, 11, 13, 6, 10], 571)
([2, 1, 1, 1], [6, 13, 2, 4, 4], 843)
([2, 1, 1, 1], [6, 13, 6, 12, 11], 397)
([2, 1, 1, 1], [6, 13, 13, 9, 11], 807)
([2, 1, 1, 1], [6, 14, 14, 13, 9], 980)
([2, 1, 1, 1], [7, 3, 2, 13, 13], 482)
([2, 1, 1, 1], [7, 4, 11, 11, 13], 341)
([2, 1, 1, 1], [7, 5, 2, 11, 7], 712)
([2, 1, 1, 1], [7, 5, 12, 7, 9], 283)
([2, 1, 1, 1], [7, 6, 2, 2, 12], 950)
([2, 1, 1, 1], [7, 7, 4, 2, 14], 788)
([2, 1, 1, 1], [7, 7, 10, 2, 12], 264)
([2, 1, 1, 1], [7, 7, 10, 8, 2], 844)
([2, 1, 1, 1], [7, 7, 11, 4, 2], 275)
([2, 1, 1, 1], [7, 7, 13, 12, 9], 361)
([2, 1, 1, 1], [7, 8, 8, 14, 6], 898)
([2, 1, 1, 1], [7, 9, 3, 13, 13], 286)
([2, 1, 1, 1], [7, 10, 10, 11, 8], 307)
([2, 1, 1, 1], [7, 10, 12, 5, 5], 748)
([2, 1, 1, 1], [7, 10, 13, 10, 11], 41)
([2, 1, 1, 1], [7, 11, 2, 5, 2], 183)
([2, 1, 1, 1], [7, 11, 11, 9, 5], 757)
([2, 1, 1, 1], [7, 12, 2, 7, 9], 800)
([2, 1, 1, 1], [7, 13, 7, 2, 3], 7)
([2, 1, 1, 1], [7, 13, 11, 7, 9], 567)
([2, 1, 1, 1], [8, 2, 11, 8, 3], 540)
([2, 1, 1, 1], [8, 2, 11, 8, 7], 293)
([2, 1, 1, 1], [8, 3, 3, 12, 11], 274)
([2, 1, 1, 1], [8, 6, 3, 10, 6], 910)
([2, 1, 1, 1], [8, 7, 11, 4, 4], 861)
([2, 1, 1, 1], [8, 7, 13, 8, 11], 461)
([2, 1, 1, 1], [8, 7, 14, 9, 9], 172)
([2, 1, 1, 1], [8, 8, 2, 9, 14], 364)
([2, 1, 1, 1], [8, 8, 4, 11, 10], 450)
([2, 1, 1, 1], [8, 8, 5, 10, 14], 180)
([2, 1, 1, 1], [8, 8, 14, 3, 10], 945)
([2, 1, 1, 1], [8, 9, 9, 6, 13], 633)
([2, 1, 1, 1], [8, 10, 4, 14, 10], 746)
([2, 1, 1, 1], [8, 10, 11, 12, 11], 300)
([2, 1, 1, 1], [8, 11, 14, 4, 14], 936)
([2, 1, 1, 1], [8, 14, 2, 6, 8], 276)
([2, 1, 1, 1], [8, 14, 2, 14, 11], 371)
([2, 1, 1, 1], [9, 3, 7, 9, 2], 812)
([2, 1, 1, 1], [9, 5, 9, 2, 6], 818)
([2, 1, 1, 1], [9, 6, 9, 11, 3], 223)
([2, 1, 1, 1], [9, 6, 14, 11, 9], 702)
([2, 1, 1, 1], [9, 7, 14, 3, 9], 148)
([2, 1, 1, 1], [9, 8, 9, 4, 13], 159)
([2, 1, 1, 1], [9, 8, 11, 12, 9], 329)
([2, 1, 1, 1], [9, 9, 5, 13, 14], 65)
([2, 1, 1, 1], [9, 10, 2, 12, 2], 494)
([2, 1, 1, 1], [9, 10, 5, 5, 7], 269)
([2, 1, 1, 1], [9, 10, 11, 14, 14], 562)
([2, 1, 1, 1], [9, 10, 14, 9, 13], 207)
([2, 1, 1, 1], [9, 12, 13, 6, 12], 906)
([2, 1, 1, 1], [9, 13, 13, 3, 8], 281)
([2, 1, 1, 1], [10, 2, 2, 7, 4], 122)
([2, 1, 1, 1], [10, 2, 4, 4, 7], 726)
([2, 1, 1, 1], [10, 2, 6, 9, 6], 239)
([2, 1, 1, 1], [10, 3, 14, 3, 11], 192)
([2, 1, 1, 1], [10, 3, 14, 5, 10], 430)
([2, 1, 1, 1], [10, 4, 4, 2, 8], 266)
([2, 1, 1, 1], [10, 4, 4, 9, 12], 484)
([2, 1, 1, 1], [10, 4, 10, 11, 9], 441)
([2, 1, 1, 1], [10, 6, 3, 7, 7], 243)
([2, 1, 1, 1], [10, 6, 5, 6, 14], 373)
([2, 1, 1, 1], [10, 6, 7, 4, 6], 196)
([2, 1, 1, 1], [10, 6, 7, 11, 7], 766)
([2, 1, 1, 1], [10, 6, 8, 13, 13], 138)
([2, 1, 1, 1], [10, 7, 8, 7, 11], 127)
([2, 1, 1, 1], [10, 7, 8, 10, 4], 527)
([2, 1, 1, 1], [10, 8, 5, 10, 4], 237)
([2, 1, 1, 1], [10, 8, 6, 8, 11], 584)
([2, 1, 1, 1], [10, 8, 6, 10, 9], 943)
([2, 1, 1, 1], [10, 8, 14, 13, 13], 316)
([2, 1, 1, 1], [10, 9, 7, 6, 7], 908)
([2, 1, 1, 1], [10, 9, 11, 9, 5], 646)
([2, 1, 1, 1], [10, 9, 14, 10, 11], 725)
([2, 1, 1, 1], [10, 11, 2, 4, 11], 92)
([2, 1, 1, 1], [10, 12, 9, 11, 12], 554)
([2, 1, 1, 1], [10, 14, 3, 11, 10], 193)
([2, 1, 1, 1], [10, 14, 7, 4, 14], 330)
([2, 1, 1, 1], [10, 14, 9, 7, 9], 521)
([2, 1, 1, 1], [10, 14, 11, 13, 10], 291)
([2, 1, 1, 1], [11, 2, 3, 10, 3], 228)
([2, 1, 1, 1], [11, 2, 10, 12, 12], 939)
([2, 1, 1, 1], [11, 2, 13, 13, 7], 383)
([2, 1, 1, 1], [11, 3, 6, 8, 3], 704)
([2, 1, 1, 1], [11, 3, 7, 3, 14], 525)
([2, 1, 1, 1], [11, 3, 11, 2, 9], 520)
([2, 1, 1, 1], [11, 3, 12, 6, 11], 510)
([2, 1, 1, 1], [11, 4, 4, 5, 6], 747)
([2, 1, 1, 1], [11, 4, 4, 8, 12], 673)
([2, 1, 1, 1], [11, 5, 2, 5, 10], 996)
([2, 1, 1, 1], [11, 5, 2, 11, 4], 220)
([2, 1, 1, 1], [11, 5, 5, 10, 13], 518)
([2, 1, 1, 1], [11, 5, 13, 5, 8], 135)
([2, 1, 1, 1], [11, 6, 9, 9, 8], 705)
([2, 1, 1, 1], [11, 7, 3, 3, 9], 639)
([2, 1, 1, 1], [11, 8, 6, 14, 6], 205)
([2, 1, 1, 1], [11, 8, 7, 12, 11], 76)
([2, 1, 1, 1], [11, 10, 8, 8, 3], 81)
([2, 1, 1, 1], [11, 12, 2, 12, 7], 794)
([2, 1, 1, 1], [11, 12, 6, 8, 11], 323)
([2, 1, 1, 1], [11, 14, 5, 14, 13], 454)
([2, 1, 1, 1], [11, 14, 6, 11, 13], 231)
([2, 1, 1, 1], [12, 2, 13, 13, 11], 733)
([2, 1, 1, 1], [12, 5, 5, 3, 11], 370)
([2, 1, 1, 1], [12, 5, 11, 3, 3], 806)
([2, 1, 1, 1], [12, 5, 11, 5, 2], 964)
([2, 1, 1, 1], [12, 5, 11, 9, 9], 189)
([2, 1, 1, 1], [12, 6, 3, 9, 12], 10)
([2, 1, 1, 1], [12, 7, 10, 10, 13], 489)
([2, 1, 1, 1], [12, 8, 7, 14, 7], 160)
([2, 1, 1, 1], [12, 8, 8, 2, 11], 758)
([2, 1, 1, 1], [12, 8, 12, 13, 5], 184)
([2, 1, 1, 1], [12, 8, 13, 2, 8], 528)
([2, 1, 1, 1], [12, 10, 7, 13, 7], 308)
([2, 1, 1, 1], [12, 11, 6, 9, 9], 846)
([2, 1, 1, 1], [12, 11, 10, 12, 13], 388)
([2, 1, 1, 1], [12, 12, 9, 6, 11], 35)
